RUN	radarin_en3b.loadTest1	loadtest1	1619621691683	less users	3.5.1
USER	loadTest1	START	1619621693069
REQUEST		request_0	1619621693084	1619621693487	OK	 
USER	loadTest1	START	1619621693499
REQUEST		favicon.ico	1619621693542	1619621693635	OK	 
REQUEST		leaflet.css	1619621693545	1619621693682	OK	 
REQUEST		request_1	1619621693636	1619621693694	OK	 
REQUEST		css?family=Roboto:300,400,500,700&display=swap	1619621693544	1619621693698	OK	 
REQUEST		request_2	1619621693558	1619621693699	OK	 
REQUEST		request_3	1619621693545	1619621693701	OK	 
REQUEST		request_0	1619621693499	1619621693702	OK	 
REQUEST		request_9	1619621693558	1619621693705	OK	 
USER	loadTest1	START	1619621693714
REQUEST		App.css	1619621693543	1619621693774	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 404
REQUEST		favicon.ico	1619621693703	1619621693795	OK	 
REQUEST		request_2	1619621693705	1619621693800	OK	 
REQUEST		main.88ea1b0b.chunk.css	1619621693543	1619621693803	OK	 
REQUEST		request_3	1619621693704	1619621693834	OK	 
REQUEST		request_9	1619621693705	1619621693835	OK	 
REQUEST		leaflet.css	1619621693704	1619621693836	OK	 
REQUEST		css?family=Roboto:300,400,500,700&display=swap	1619621693704	1619621693839	OK	 
REQUEST		request_1	1619621693795	1619621693843	OK	 
REQUEST		main.2ee1735e.chunk.js	1619621693544	1619621693890	OK	 
REQUEST		App.css	1619621693703	1619621693912	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 404
REQUEST		2.3021dfe7.chunk.css	1619621693543	1619621693930	OK	 
REQUEST		main.88ea1b0b.chunk.css	1619621693704	1619621693934	OK	 
REQUEST		request_0	1619621693715	1619621693937	OK	 
REQUEST		request_6	1619621693803	1619621693954	OK	 
USER	loadTest1	START	1619621694023
REQUEST		main.2ee1735e.chunk.js	1619621693704	1619621694027	OK	 
REQUEST		request_2	1619621693939	1619621694029	OK	 
REQUEST		favicon.ico	1619621693938	1619621694033	OK	 
REQUEST		request_8	1619621693891	1619621694037	OK	 
REQUEST		leaflet.css	1619621693939	1619621694061	OK	 
REQUEST		request_3	1619621693939	1619621694063	OK	 
REQUEST		request_9	1619621693940	1619621694068	OK	 
REQUEST		css?family=Roboto:300,400,500,700&display=swap	1619621693939	1619621694074	OK	 
REQUEST		request_1	1619621694033	1619621694081	OK	 
